iata,icao,state
MPM,FQMA,Maputo
MUD,FQMD,Maputo
MZB,FQMP,Maputo
\N,FQMR,Maputo
MNC,FQNC,Maputo
APL,FQNP,Maputo
POL,FQPB,Maputo
UEL,FQQL,Maputo
\N,FQSG,Maputo
TET,FQTT,Maputo
\N,FQUG,Maputo
VNX,FQVL,Maputo
\N,FSAL,Mahe
DES,FSDR,Mahe
\N,FSFA,Mahe
SEZ,FSIA,Mahe
PRI,FSPP,Mahe
\N,FSSC,Mahe
AEH,FTTC,Ndjamena
MQQ,FTTD,Ndjamena
NDJ,FTTJ,Ndjamena
FYT,FTTY,Ndjamena
BUQ,FVBU,Harare
\N,FVCP,Harare
BFO,FVCZ,Harare
VFA,FVFA,Harare
HRE,FVHA,Harare
KAB,FVKB,Harare
\N,FVMT,Harare
UTA,FVMU,Harare
MVZ,FVMV,Harare
\N,FVSH,Harare
